order_id,user_id,product_id,product_name,quantity
1000,103,4,Monitor,2
1000,103,10,Backpack,2
1000,103,1,Laptop,1
1000,103,9,Socks,2
1001,309,9,Socks,1
1001,309,3,Keyboard,2
1002,345,2,Mouse,1
1003,21,3,Keyboard,1
1004,386,5,Headphones,2
1004,386,9,Socks,2
1004,386,2,Mouse,2
1004,386,4,Monitor,2
1005,54,1,Laptop,2
1005,54,3,Keyboard,2
1006,270,3,Keyboard,1
1006,270,2,Mouse,1
1006,270,9,Socks,2
1007,410,2,Mouse,1
1008,81,4,Monitor,2
1008,81,8,Shoes,1
1008,81,6,Smartphone,1
1008,81,7,Charger,2
1009,268,8,Shoes,1
1009,268,10,Backpack,1
1010,227,7,Charger,2
1011,42,6,Smartphone,1
1011,42,10,Backpack,1
1011,42,8,Shoes,1
1011,42,2,Mouse,1
1012,29,9,Socks,1
1012,29,10,Backpack,2
1012,29,5,Headphones,2
1012,29,1,Laptop,2
1013,108,2,Mouse,2
1013,108,3,Keyboard,1
1013,108,8,Shoes,2
1013,108,5,Headphones,1
1014,233,4,Monitor,2
1014,233,2,Mouse,2
1014,233,10,Backpack,1
1015,315,3,Keyboard,2
1015,315,5,Headphones,1
1016,113,7,Charger,1
1017,224,10,Backpack,1
1018,324,9,Socks,1
1018,324,3,Keyboard,1
1018,324,10,Backpack,2
1019,144,1,Laptop,1
1020,346,6,Smartphone,2
1020,346,2,Mouse,1
1020,346,10,Backpack,1
1021,476,1,Laptop,2
1022,346,5,Headphones,1
1022,346,3,Keyboard,1
1022,346,6,Smartphone,2
1022,346,8,Shoes,1
1023,9,2,Mouse,2
1024,420,2,Mouse,2
1024,420,9,Socks,2
1025,366,8,Shoes,1
1025,366,10,Backpack,2
1026,404,6,Smartphone,1
1026,404,2,Mouse,2
1026,404,5,Headphones,2
1026,404,10,Backpack,2
1027,38,9,Socks,2
1027,38,4,Monitor,1
1028,448,7,Charger,2
1029,373,6,Smartphone,1
1029,373,2,Mouse,2
1030,191,10,Backpack,2
1031,323,1,Laptop,2
1031,323,5,Headphones,2
1031,323,4,Monitor,1
1031,323,3,Keyboard,2
1032,417,8,Shoes,1
